date_of_service,BRL,Barrie,Belleville,IRL,Kitchener,London,Ottawa,Thorold
2015-09-21,0.0,0.0,0.0,280.0,0.0,0.0,0.0,0.0
2015-09-23,650.0,0.0,0.0,540.0,0.0,0.0,0.0,0.0
2015-09-25,0.0,0.0,0.0,520.0,0.0,0.0,0.0,0.0
2015-09-28,0.0,0.0,0.0,300.0,0.0,0.0,0.0,0.0
2015-09-30,285.0,0.0,31.0,800.0,0.0,0.0,0.0,0.0
2015-10-02,0.0,0.0,0.0,480.0,0.0,111.0,0.0,0.0
2015-10-05,0.0,0.0,0.0,280.0,0.0,0.0,0.0,0.0
2015-10-07,300.0,0.0,0.0,380.0,0.0,0.0,0.0,0.0
2015-10-09,0.0,0.0,0.0,500.0,0.0,0.0,0.0,0.0
2015-10-13,0.0,0.0,0.0,420.0,0.0,0.0,0.0,0.0
2015-10-14,310.0,0.0,0.0,260.0,0.0,0.0,40.0,0.0
2015-10-16,0.0,0.0,0.0,540.0,0.0,0.0,0.0,0.0
2015-10-19,0.0,0.0,0.0,305.0,0.0,0.0,0.0,0.0
2015-10-21,0.0,0.0,0.0,400.0,0.0,0.0,0.0,0.0
2015-10-23,0.0,0.0,0.0,480.0,0.0,113.0,0.0,0.0
