date_of_service,IRL
10/7/2015,60
10/7/2015,60
10/7/2015,20
10/7/2015,240
10/5/2015,40
10/5/2015,20
10/5/2015,20
10/5/2015,20
10/5/2015,160
10/5/2015,20
10/2/2015,80
10/2/2015,80
10/2/2015,40
10/2/2015,260
10/2/2015,20
10/9/2015,60
10/9/2015,60
10/9/2015,40
10/9/2015,320
10/9/2015,20
10/14/2015,60
10/14/2015,20
10/14/2015,20
10/14/2015,160
10/13/2015,40
10/13/2015,20
10/13/2015,40
10/13/2015,40
10/13/2015,260
10/13/2015,20
9/23/2015,100
9/23/2015,20
9/23/2015,20
9/23/2015,20
9/23/2015,80
9/23/2015,40
9/23/2015,260
10/23/2015,100
10/23/2015,20
10/23/2015,20
10/23/2015,60
10/23/2015,240
10/23/2015,40
10/21/2015,80
10/21/2015,20
10/21/2015,60
10/21/2015,240
10/19/2015,20
10/19/2015,20
10/19/2015,40
10/19/2015,40
10/19/2015,160
10/19/2015,25
10/16/2015,80
10/16/2015,40
10/16/2015,80
10/16/2015,280
10/16/2015,60
